Date : 2020-01-25 10:45:56
Directory : c:\Users\djackson\Desktop\repos\archie_server
Total : 156 files,  38787 codes, 10250 comments, 4191 blanks, all 53228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\djackson\Desktop\repos\archie_server\models\group.js                                                           | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\djackson\Desktop\repos\archie_server\models\organization.js                                                    | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\djackson\Desktop\repos\archie_server\models\user.js                                                            | JavaScript |         59 |          5 |          6 |         70 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\dtDistricts.js                                                      | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\dtInfogroupVoterFile.js                                             | JavaScript |      2,496 |          1 |          2 |      2,499 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\dtVoterFile.js                                                      | JavaScript |      1,131 |         12 |          3 |      1,146 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\index.js                                                            | JavaScript |         49 |          3 |         12 |         64 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiNationalFlags.js                                                | JavaScript |        793 |          2 |          3 |        798 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiNationalFlagsSummary.js                                         | JavaScript |        828 |          2 |          2 |        832 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiTopIssueSegments.js                                             | JavaScript |         95 |          1 |          4 |        100 |
| c:\Users\djackson\Desktop\repos\archie_server\mssql\wpaiTopIssueSegmentsSummary.js                                      | JavaScript |        111 |          1 |          4 |        116 |
| c:\Users\djackson\Desktop\repos\archie_server\package-lock.json                                                         | JSON       |     11,822 |          0 |          1 |     11,823 |
| c:\Users\djackson\Desktop\repos\archie_server\package.json                                                              | JSON       |         67 |          0 |          0 |         67 |
| c:\Users\djackson\Desktop\repos\archie_server\resolvers\mutations.js                                                    | JavaScript |         93 |          3 |         18 |        114 |
| c:\Users\djackson\Desktop\repos\archie_server\resolvers\queries.js                                                      | JavaScript |         23 |          0 |          6 |         29 |
| c:\Users\djackson\Desktop\repos\archie_server\resolvers\resolvers.js                                                    | JavaScript |         64 |          1 |          2 |         67 |
| c:\Users\djackson\Desktop\repos\archie_server\routes\api.js                                                             | JavaScript |         28 |          2 |          7 |         37 |
| c:\Users\djackson\Desktop\repos\archie_server\schema\index.js                                                           | JavaScript |        183 |          3 |          3 |        189 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\README.md                                                 | Markdown   |         55 |          0 |         15 |         70 |
